id,brand_id,created_at,updated_at,Название,Гарантия,Управление,Комплектация,МАТЕРИАЛ,Изображения,Производитель,Модель
8026,0,,,F1803 держатель для туалетной бумаги хром/золото,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1803-1200x800.jpg,Frap,"
											
										"
8027,0,,,F1903-1 держатель для туалетной бумаги с дезодорантом,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1903-1-1200x800.jpg,Frap,"
											
										"
8028,0,,,F1903-2 держатель для туалетной бумаги,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1903-2-1200x800.jpg,Frap,"
											
										"
8029,0,,,F102 держатель для зубных паст щеток,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/otdelnie-resheniya/frap/f102-1200x800.jpg,Frap,"
											
										"
8030,0,,,F103 держатель для зубных щеток гелевый синий,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/milnici-stakani-i-dozatori/frap/f103-1200x800.jpg,Frap,"
											
										"
8031,0,,,F1410 ершик настенный бронза,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/ershiki/frap/f1410-1200x800.jpg,Frap,"
											
										"
8032,0,,,F1610 ершик настенный,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/ershiki/frap/f1610-1200x800.jpg,Frap,"
											
										"
8033,0,,,F1710 ершик настенный,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/ershiki/frap/f1710-1200x800.jpg,Frap,"
											
										"
8034,0,,,F33901 запасная насадка для ерша пластик,,,,,http://frap-frud.ru/image/cache/catalog/komplektuyushie/frap/f33901-1200x800.jpg,Frap,"
											
										"
8035,0,,,F301-3 набор аксессуаров для ванной комнаты фиолетовый,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/otdelnie-resheniya/frap/f301-3-1200x800.jpg,Frap,F301-3
8036,0,,,F302-2 набор аксессуаров для ванной комнаты коричневый,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/otdelnie-resheniya/frap/f302-2-1200x800.jpg,Frap,F302-2
8037,0,,,F302-3 набор аксессуаров для ванной комнаты фиолетовый,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/F302-3-1200x800.jpg,Frap,F302-3
8038,0,,,F303-2 набор аксессуаров для ванной комнаты коричневый,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/otdelnie-resheniya/frap/f303-2-1200x800.jpg,Frap,F303-2
8039,0,,,F1805-3 Крючок,,,,,http://frap-frud.ru/image/cache/catalog/new2020/F1805-3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/F1805-3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/F1805-3_2-1200x800.jpg,Frap,"
											
										"
8040,0,,,F3315-5 Крючок 5 штук,,,,,http://frap-frud.ru/image/cache/catalog/new2020/F3315-5-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/F3315-5-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/F3315-5_2-1200x800.jpg,Frap,"
											
										"
8041,0,,,F3905-3 Крючок,,,,,http://frap-frud.ru/image/cache/catalog/new2020/F3905-3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/F3905-3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/F3905-3_2-1200x800.jpg,Frap,"
											
										"
8042,0,,,G3705 Крючок,,,,,http://frap-frud.ru/image/cache/catalog/new2020/G3705-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G3705-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G3705_2-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G3705_3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G3705_4-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G3705_5-1200x800.jpg,Frap,"
											
										"
8043,0,,,G3705-2 Крючок,,,,,http://frap-frud.ru/image/cache/catalog/new2020/G3705-2-1200x800.jpg,Frap,"
											
										"
