код,Артикул,Название,Производитель,Изображение,Изображение
120208,SL92BL-279F,Смеситель для кухонной мойки РМС SL92 (SL92BL-279F),РМС,https://gutsant.ru/upload/resize_cache/iblock/2a0/1024_1024_1/2a0e2a7d0629091627ac267ef230e698.jpg,
120209,SL92GR-279F,Смеситель для кухонной мойки РМС SL92 (SL92GR-279F),РМС,https://gutsant.ru/upload/resize_cache/iblock/b11/1024_1024_1/b1134f8333bfcb66224e67024ca1fba5.jpg,
119454,SL92YW-279F,Смеситель для кухонной мойки РМС SL92 (SL92YW-279F),РМС,https://gutsant.ru/upload/resize_cache/iblock/80f/1024_1024_1/80faf9f0ee308cc0ae3bfcf2e6d5d6d9.jpg,
144287,SL115-161,Смеситель для раковины РМС SL115 (SL115-161),РМС,https://gutsant.ru/upload/resize_cache/iblock/9c9/1024_1024_1/9c940448c73c4c27217ca947a875026e.jpg,https://gutsant.ru/upload/iblock/279/279c1c294be2f3448691d71dccd5cc0a.png
149808,SL116-161,Смеситель для раковины РМС SL116 (SL116-161),РМС,https://gutsant.ru/upload/iblock/3d8/3d81a4585eef978155af0851f7914ec4.jpg,https://gutsant.ru/upload/resize_cache/iblock/81e/1024_1024_1/81ebc5d91875c2df2bdda4b9a250004e.png
154009,SL117-161,Смеситель для раковины РМС SL117 (SL117-161),РМС,https://gutsant.ru/upload/resize_cache/iblock/043/1024_1024_1/043044addcc4ccaa37412ed8612071e0.jpg,https://gutsant.ru/upload/resize_cache/iblock/2d0/1024_1024_1/2d098daf1158fd831b7a7a719a28aecd.png
132146,SL120-001F,Смеситель для раковины РМС SL120 (SL120-001F),РМС,https://gutsant.ru/upload/resize_cache/iblock/e11/1024_1024_1/e1172d09fce1f9b2cfff5bfcac587071.jpg,https://gutsant.ru/upload/iblock/765/765ebb798c8b47e035d6c91128dfbb3d.png
144290,SL128-001,Смеситель для раковины РМС SL128 (SL128-001),РМС,https://gutsant.ru/upload/resize_cache/iblock/32a/1024_1024_1/32aabab6e4a2b43585cb7bed7ae4b3cc.jpg,https://gutsant.ru/upload/iblock/c04/c04278518db82b30372c1c04e944c36e.png
127548,SL85-001F,Смеситель для раковины РМС SL85 (SL85-001F),РМС,https://gutsant.ru/upload/iblock/6ea/6eaa2a706250e407a26555de3130ef51.jpg,https://gutsant.ru/upload/iblock/097/09723b80e82671a38dbc08fd7d9f4d36.png
132139,SL86-001,Смеситель для раковины РМС SL86 (SL86-001),РМС,https://gutsant.ru/upload/iblock/dc2/dc2a1700d47c101d0f428cc8d89ea718.jpg,https://gutsant.ru/upload/resize_cache/iblock/963/1024_1024_1/9637bf24ad94491c3dd4fdaacde82eae.png
142036,SL115-140E,Смеситель для ванны РМС SL115 (SL115-140E),РМС,https://gutsant.ru/upload/resize_cache/iblock/048/1024_1024_1/0484689814ec3c103f8bc0640211a2e6.jpg,https://gutsant.ru/upload/resize_cache/iblock/c14/1024_1024_1/c148276e5dfcd4b43b1fd0d04c8440d4.png
143730,SL115-142E,Смеситель для ванны РМС SL115 (SL115-142E),РМС,https://gutsant.ru/upload/resize_cache/iblock/0fb/1024_1024_1/0fb17e6e300582b658e38555c4d69272.jpg,https://gutsant.ru/upload/resize_cache/iblock/73c/1024_1024_1/73cfceb0d495562cac9c279aef333b2a.png
149807,SL116-140,Смеситель для ванны РМС SL116 (SL116-140),РМС,https://gutsant.ru/upload/resize_cache/iblock/79f/1024_1024_1/79f198942db67f898a8ce3e54ff390bf.jpg,https://gutsant.ru/upload/resize_cache/iblock/563/1024_1024_1/5637d2f22583084ea7b61a83a5c9211f.png
154006,SL117-142E,Смеситель для ванны РМС SL117 (SL117-142E),РМС,https://gutsant.ru/upload/resize_cache/iblock/402/1024_1024_1/402a34b2017ea1b0358496aaad938f3e.jpg,https://gutsant.ru/upload/resize_cache/iblock/ec8/1024_1024_1/ec8e9896ca93a9a59740866cd27e06ad.png
149264,SL118-140,Смеситель для ванны РМС SL118 (SL118-140),РМС,https://gutsant.ru/upload/iblock/cee/cee9a09d61905c4d83a12ac0feb2337e.jpg,
142453,SL118-143,Смеситель для ванны РМС SL118 (SL118-143),РМС,https://gutsant.ru/upload/iblock/029/029a49e0ab3862dfba8955f99c8617fc.jpg,https://gutsant.ru/upload/iblock/ebc/ebc153caa51af221814aa157a27924ce.png
144482,SL119-143,Смеситель для ванны РМС SL119 (SL119-143),РМС,https://gutsant.ru/upload/iblock/3aa/3aac6a37ad999bd396e8f61390e142a8.jpg,https://gutsant.ru/upload/iblock/f45/f451c7469571593750459266b8647c73.png
130334,SL120-006E,Смеситель для ванны РМС SL120 (SL120-006E),РМС,https://gutsant.ru/upload/resize_cache/iblock/7b0/1024_1024_1/7b08721ca90189ce638ef8587c9e7d5c.jpg,https://gutsant.ru/upload/resize_cache/iblock/e01/1024_1024_1/e01d0f7a578bcd42f8953401b9200218.png
142454,SL120-009E,Смеситель для ванны РМС SL120 (SL120-009E),РМС,https://gutsant.ru/upload/iblock/012/0121baf601055b60088fcf60564a145f.jpg,https://gutsant.ru/upload/resize_cache/iblock/8bd/1024_1024_1/8bdd0b4ee57163e75307d2168f3b3dad.png
130337,SL121BL-006E,Смеситель для ванны РМС SL121 (SL121BL-006E),РМС,https://gutsant.ru/upload/iblock/3f5/3f5a1f4a302b15df83fb6f59f8da26aa.jpg,https://gutsant.ru/upload/iblock/8b8/8b8e4490c6a3e5530be358e7f615fa57.jpg
130338,SL121W-006E,Смеситель для ванны РМС SL121 (SL121W-006E),РМС,https://gutsant.ru/upload/iblock/733/73356cf95d18fd1f5db0afb42838439c.jpg,https://gutsant.ru/upload/iblock/020/020fee38c7fae9bf0a4d96af9f128383.png
143561,SL126-006E,Смеситель для ванны РМС SL126 (SL126-006E),РМС,https://gutsant.ru/upload/resize_cache/iblock/97b/1024_1024_1/97bd0026c3d1cba7efb029087379c192.jpg,
144291,SL128-006E,Смеситель для ванны РМС SL128 (SL128-006E),РМС,https://gutsant.ru/upload/iblock/8bb/8bb7cd457aca6b9e664f1ac792c74845.jpg,https://gutsant.ru/upload/iblock/7af/7af2f9de7c514cac0d513eeaca51ce1a.png
146157,SL129-140,Смеситель для ванны РМС SL129 (SL129-140),РМС,https://gutsant.ru/upload/resize_cache/iblock/d04/1024_1024_1/d04a67f0841bee67339b383f3d113565.jpg,https://gutsant.ru/upload/resize_cache/iblock/971/1024_1024_1/971c1bfc0f2d0089b1b0963595f7ee21.png
144295,SL131-006E,Смеситель для ванны РМС SL131 (SL131-006E),РМС,https://gutsant.ru/upload/resize_cache/iblock/d9d/1024_1024_1/d9d1a456ec0cf797abf2045d9c345e32.jpg,https://gutsant.ru/upload/iblock/222/222d21b208156d8a491ec4ce28a55bb9.png
147876,SL132-009E,Смеситель для ванны РМС SL132 (SL132-009E),РМС,https://gutsant.ru/upload/resize_cache/iblock/6ce/1024_1024_1/6cef8a9f1e8f2088d6e0cc6fbe53ace3.jpg,https://gutsant.ru/upload/resize_cache/iblock/4fa/1024_1024_1/4fa1e0735e8d3fa6c1befd8b93e4dbf4.png
149806,SL133-006E,Смеситель для ванны РМС SL133 (SL133-006E),РМС,https://gutsant.ru/upload/resize_cache/iblock/67c/1024_1024_1/67ca1784c1271606e8297f022d0bcb9f.jpg,
141611,SL50-009E,Смеситель для ванны РМС SL50 (SL50-009E),РМС,https://gutsant.ru/upload/iblock/ed1/ed13656d7189f328882c157759f203ad.jpg,https://gutsant.ru/upload/resize_cache/iblock/853/1024_1024_1/853e67d06b3392924181679c7ee3a9b7.png
120207,SL85-006E,Смеситель для ванны РМС SL85 (SL85-006E),РМС,https://gutsant.ru/upload/iblock/9f8/9f8531860772b769360739c186a44bb8.jpg,https://gutsant.ru/upload/iblock/a70/a7098b84e796af58400e911b0e48805f.png
120178,SL85-009E,Смеситель для ванны РМС SL85 (SL85-009E),РМС,https://gutsant.ru/upload/iblock/0dc/0dc6afa87677c4acfe87010af9859e8c.jpg,https://gutsant.ru/upload/resize_cache/iblock/888/1024_1024_1/888f9dd7ef3d4e8777ae2c845b6b72e1.png
131987,SL86-006,Смеситель для ванны РМС SL86 (SL86-006),РМС,https://gutsant.ru/upload/iblock/0f7/0f702040451bbb845ee023ac3a122f4f.jpg,https://gutsant.ru/upload/resize_cache/iblock/3a9/1024_1024_1/3a99743d1e0ca9d83068bfbc87802f26.png
128261,SL86-006E,Смеситель для ванны РМС SL86 (SL86-006E),РМС,https://gutsant.ru/upload/iblock/c9f/c9fb17ca0b2b79f6afe8ac9394135091.jpg,https://gutsant.ru/upload/resize_cache/iblock/dbf/1024_1024_1/dbf0ea9fb275b2b5cb2087e801b14632.png
